participant_id,Q2: Select one,Q3: Select at least one,Q4: List - select one,Q5: List - select at least one,"Q6: Rank 
Option 1: A","Q6: Rank 
Option 2: B","Q6: Rank 
Option 3: C","Q6: Rank 
Option 4: D","Q6: Rank 
Option 5: E","Q6: Rank 
Option 6: F",Q10: Numbers
157464594,E,"A,D",E,"A,D,E",5,3,2,4,1,6,837
157464616,C,"B,C,E",E,"A,B",3,6,5,2,4,1,842
157464673,C,"C,E",E,"C,D",6,1,5,2,3,4,835
157464695,A,"A,B",E,"B,C",6,2,5,3,1,4,573
157558710,A,"A,B,E",E,"A,C,D,E",1,2,6,4,3,5,100
159453345,E,"A,C,E",A,"B,C,D,E",3,6,5,2,4,1,611
164020423,E,"A,E",A,"A,C,D",1,5,6,3,2,4,183
164020437,E,B,E,"A,B,E",3,5,2,1,4,6,12
164020447,C,"A,B,D,E",E,"A,B,C,D",3,2,6,5,1,4,643
164024676,E,"C,D",E,A,1,2,4,5,3,6,983
164024688,B,E,E,"B,C,D,E",5,2,4,3,1,6,759
157930998,E,"A,C,D",D,"A,E",6,2,3,5,1,4,548
163382309,B,B,A,C,4,3,5,6,2,1,703
160364571,E,"A,B,D",E,"B,C,E",6,3,5,2,1,4,206
160949736,E,"B,C,D,E",D,"A,B,C",4,5,1,6,3,2,526
157712325,E,A,E,"B,C",4,1,2,3,5,6,811
161078582,E,"B,E",C,"C,D",1,4,3,6,2,5,800
159253898,E,"A,D",E,"A,B,C,D",4,1,2,5,6,3,844
158940273,C,C,C,C,3,4,2,1,6,5,947
159466184,E,"A,B,C,D,E",E,"B,E",1,3,2,5,6,4,93
160228366,A,C,D,"A,D,E",1,4,2,5,3,6,926
163956464,D,"B,C",C,"A,C,D,E",1,3,2,6,4,5,19
162442955,E,E,E,"D,E",3,1,6,4,5,2,1000
160151276,E,"A,D",A,"D,E",5,1,6,4,3,2,985
158494255,C,"A,C,E",E,"A,D,E",6,4,3,1,2,5,44
159435374,E,"C,D",E,D,4,1,6,2,5,3,421
160567342,E,D,E,"A,C,E",1,2,5,6,3,4,672
157521624,B,"A,D,E",A,"A,B,C",3,1,4,2,6,5,287
159963254,C,"A,B,C,D,E",D,"A,B,C",1,2,3,6,4,5,372
160949629,E,"A,C,E",E,"B,C,D",5,3,1,4,6,2,180
163874522,E,"C,D",E,"A,B,D,E",6,5,1,2,4,3,617
160216055,D,"A,B,D,E",A,"A,C,E",5,3,1,4,2,6,683
160428710,A,"B,C,D",C,"A,C,D",5,3,1,6,2,4,230
158431418,E,"A,B,C,E",E,"A,B,C,D,E",2,1,5,4,6,3,382
158750460,B,"A,B",E,C,1,6,4,2,3,5,101
162676560,B,"A,C,D",E,"B,C,D",2,5,6,3,4,1,164
162270162,E,"A,D",D,"B,C,E",3,2,5,6,4,1,313
159544865,E,E,B,"A,B,D,E",6,3,1,4,5,2,273
162964035,A,"C,D",E,"A,C",6,3,1,4,2,5,237
157955990,B,"A,C",B,"B,D",4,5,1,3,6,2,211
160594808,D,"A,C,E",E,"A,B,C",3,1,6,5,4,2,953
159979637,C,B,E,"C,D",4,1,2,3,5,6,266
162317473,B,"A,B,C,E",E,"A,E",4,1,3,5,6,2,311
162833271,E,"B,E",E,A,4,2,5,3,1,6,251
161171829,A,"B,D,E",E,"A,B,C,E",6,5,2,3,1,4,420
162090686,E,"A,C",B,"A,B,C,E",3,5,1,2,4,6,574
160789745,B,C,E,"C,E",1,6,5,2,4,3,880
160296569,B,"A,D,E",E,"D,E",5,2,3,1,4,6,20
161667381,E,"B,C,E",E,A,4,6,5,2,3,1,359
159843000,B,"A,B,D,E",E,"A,B,D,E",2,3,5,4,6,1,152
158594674,E,"A,E",B,"A,C,D,E",4,1,2,5,6,3,111
159723268,B,"A,B,D",E,A,2,3,1,6,5,4,934
163116802,E,E,E,"C,E",3,1,2,6,4,5,80
159243036,E,"C,D,E",C,C,3,4,5,2,1,6,6
161446425,E,B,C,"C,D",6,3,5,4,1,2,528
159000389,D,"B,D,E",E,"B,E",5,6,4,3,2,1,467
160328762,B,"A,C,D,E",D,"A,D,E",6,5,1,4,2,3,116
160223709,B,"A,B,E",A,"B,D,E",2,5,1,3,6,4,614
159489633,D,"B,C,E",A,"A,B,D,E",3,5,4,2,1,6,988
159243017,B,A,E,B,6,4,3,1,5,2,626
160788468,E,"A,C,D,E",C,A,2,1,5,3,4,6,307
162160562,E,"A,B,D",B,"A,E",1,4,2,6,5,3,480
162380257,A,"A,B,C",D,"A,B,C,D",2,5,1,3,4,6,868
158509176,E,E,A,"A,C,D,E",4,6,2,1,3,5,334
160075102,E,"A,D",E,"A,B,C,D,E",1,2,5,6,3,4,891
161629155,E,B,E,"A,B,C,D",4,1,3,5,6,2,579
163626695,E,"B,C,D",E,"A,B,C,D",5,6,3,4,2,1,196
163934017,C,"A,D",A,"A,B",3,4,6,2,5,1,808
163625977,C,"B,D,E",A,C,4,3,5,2,1,6,770
160032657,E,"A,B,C,E",E,"A,B,D,E",6,5,4,2,1,3,88
160854018,A,"B,D,E",E,"A,B,D,E",5,2,1,4,3,6,83
157844858,A,"B,E",E,C,2,4,5,6,3,1,217
161621107,D,"A,B,D,E",E,"B,D",4,5,6,1,3,2,574
158085790,D,"D,E",B,"A,B,D",4,3,6,1,2,5,638
159037678,E,D,E,"B,C,E",1,6,3,5,4,2,911
162553136,E,"B,D,E",E,"A,B,C,D",6,2,3,5,1,4,11
162413135,A,"A,C,D",E,"B,C",2,3,1,6,4,5,941
161625776,C,"C,D,E",C,"A,D,E",6,1,4,3,5,2,677
159550082,B,"A,B,C",A,"A,B,E",1,3,6,5,4,2,285
162705975,B,"C,E",E,"A,B,C,D,E",2,6,5,4,3,1,813
162201072,E,"A,B,C,E",E,D,5,3,4,6,2,1,576
160903025,E,"B,C",E,"A,C,D",4,3,5,1,6,2,204
162520995,E,"A,C",E,"A,B,E",1,5,6,2,3,4,300
160826921,D,"A,D,E",A,"A,B,D",6,1,2,3,5,4,484
158436843,D,"A,D",B,"A,B,D,E",2,6,3,4,1,5,958
159880303,A,"B,C,D,E",E,"C,D",1,2,3,6,4,5,417
160970540,E,"A,B,C,D",E,"A,E",6,3,1,4,5,2,751
159887020,E,"B,C,D",C,"C,D",1,5,4,3,2,6,279
161710077,C,E,E,"A,D",2,1,5,6,4,3,75
162577467,B,"A,B,D",A,D,6,2,5,4,3,1,637
160318490,E,"A,B,C,E",D,"B,E",2,4,6,5,1,3,975
159374931,A,"A,C,D,E",B,E,2,3,6,5,4,1,91
159451933,A,"A,B,C,D",E,"A,C,D,E",4,3,2,6,5,1,504
158854709,E,B,E,"B,D",6,1,5,3,4,2,522
162518913,A,D,D,C,5,4,3,2,1,6,308
160717185,E,"B,C,D,E",E,"A,C",5,6,3,2,4,1,59
