participant_id,Q2: Select one,"Q6: Rank 
Option 1: A","Q6: Rank 
Option 2: B","Q6: Rank 
Option 3: C","Q6: Rank 
Option 4: D","Q6: Rank 
Option 5: E","Q6: Rank 
Option 6: F",Q10: Numbers
157464594,E,5,3,2,4,1,6,837
157464616,C,3,6,5,2,4,1,842
157464673,C,6,1,5,2,3,4,835
157464695,A,6,2,5,3,1,4,573
157558710,A,1,2,6,4,3,5,100
159453345,E,3,6,5,2,4,1,611
164020423,E,1,5,6,3,2,4,183
164020437,E,3,5,2,1,4,6,12
159466184,E,1,3,2,5,6,4,93
160228366,A,1,4,2,5,3,6,926
163956464,D,1,3,2,6,4,5,19
162442955,E,3,1,6,4,5,2,1000
160151276,E,5,1,6,4,3,2,985
158494255,C,6,4,3,1,2,5,44
159435374,E,4,1,6,2,5,3,421
160567342,E,1,2,5,6,3,4,672
157521624,B,3,1,4,2,6,5,287
159963254,C,1,2,3,6,4,5,372
160949629,E,5,3,1,4,6,2,180
163874522,E,6,5,1,2,4,3,617
160216055,D,5,3,1,4,2,6,683
160428710,A,5,3,1,6,2,4,230
158431418,E,2,1,5,4,6,3,382
158750460,B,1,6,4,2,3,5,101
162676560,B,2,5,6,3,4,1,164
162270162,E,3,2,5,6,4,1,313
159544865,E,6,3,1,4,5,2,273
162964035,A,6,3,1,4,2,5,237
157955990,B,4,5,1,3,6,2,211
160594808,D,3,1,6,5,4,2,953
159979637,C,4,1,2,3,5,6,266
162317473,B,4,1,3,5,6,2,311
162833271,E,4,2,5,3,1,6,251
161171829,A,6,5,2,3,1,4,420
162090686,E,3,5,1,2,4,6,574
160789745,B,1,6,5,2,4,3,880
160296569,B,5,2,3,1,4,6,20
161667381,E,4,6,5,2,3,1,359
159843000,B,2,3,5,4,6,1,152
158594674,E,4,1,2,5,6,3,111
159723268,B,2,3,1,6,5,4,934
163116802,E,3,1,2,6,4,5,80
159243036,E,3,4,5,2,1,6,6
161446425,E,6,3,5,4,1,2,528
159000389,D,5,6,4,3,2,1,467
160788468,E,2,1,5,3,4,6,307
162160562,E,1,4,2,6,5,3,480
162380257,A,2,5,1,3,4,6,868
158509176,E,4,6,2,1,3,5,334
160075102,E,1,2,5,6,3,4,891
161629155,E,4,1,3,5,6,2,579
163626695,E,5,6,3,4,2,1,196
163934017,C,3,4,6,2,5,1,808
163625977,C,4,3,5,2,1,6,770
160032657,E,6,5,4,2,1,3,88
160854018,A,5,2,1,4,3,6,83
157844858,A,2,4,5,6,3,1,217
161621107,D,4,5,6,1,3,2,574
158085790,D,4,3,6,1,2,5,638
159037678,E,1,6,3,5,4,2,911
162553136,E,6,2,3,5,1,4,11
162413135,A,2,3,1,6,4,5,941
161625776,C,6,1,4,3,5,2,677
159550082,B,1,3,6,5,4,2,285
161710077,C,2,1,5,6,4,3,75
162577467,B,6,2,5,4,3,1,637
160318490,E,2,4,6,5,1,3,975
159374931,A,2,3,6,5,4,1,91
159451933,A,4,3,2,6,5,1,504
158854709,E,6,1,5,3,4,2,522
162518913,A,5,4,3,2,1,6,308
160717185,E,5,6,3,2,4,1,59
161590749,B,3,2,4,1,6,5,267
163790542,A,4,6,3,5,1,2,397
